"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","28.70","28.27","29.81","26.62","","2.98%"
"30/04/2024","27.87","27.55","28.68","27.48","","0.11%"
"29/04/2024","27.84","28.46","28.73","27.31","","0.11%"
"26/04/2024","27.81","27.91","28.60","27.80","","-1.87%"
"25/04/2024","28.34","28.94","29.04","27.66","","-2.41%"
"24/04/2024","29.04","29.20","30.90","28.89","","0.62%"
"23/04/2024","28.86","29.70","30.01","26.79","","-2.83%"
"22/04/2024","29.70","30.54","30.74","29.53","","-6.78%"
"19/04/2024","31.86","32.22","32.47","31.20","","1.46%"
"18/04/2024","31.40","31.86","32.27","31.11","","-4.85%"
"17/04/2024","33.00","33.79","33.87","32.86","","-1.81%"
"16/04/2024","33.61","33.51","34.08","33.33","","-5.56%"
"15/04/2024","35.59","31.20","37.23","30.81","","10.56%"
"12/04/2024","32.19","34.92","34.92","31.75","","2.94%"
"11/04/2024","31.27","30.81","31.27","29.79","","3.96%"
"10/04/2024","30.08","28.33","31.27","27.64","","3.87%"
"09/04/2024","28.96","29.67","29.79","28.40","","-5.27%"
"08/04/2024","30.57","31.19","31.46","30.19","","-5.53%"
"05/04/2024","32.36","33.62","33.72","31.81","","0.59%"
"04/04/2024","32.17","27.49","35.09","27.49","","10.63%"
"03/04/2024","29.08","28.80","30.05","28.70","","0.14%"
"02/04/2024","29.04","27.66","29.28","26.43","","5.03%"
"01/04/2024","27.65","27.24","27.73","25.98","","5.25%"
"28/03/2024","26.27","26.53","26.55","25.86","","-1.24%"
"27/03/2024","26.60","26.43","26.66","26.05","","-2.39%"
"26/03/2024","27.25","27.51","27.75","27.03","","-0.87%"
"25/03/2024","27.49","27.23","27.76","27.16","","2.12%"
"22/03/2024","26.92","27.49","27.49","26.59","","-2.22%"
"21/03/2024","27.53","29.99","30.10","27.51","","-4.48%"
"20/03/2024","28.82","29.96","29.96","28.80","","-1.37%"
"19/03/2024","29.22","30.09","30.09","29.22","","-1.98%"
