"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","19.87","23.05","24.80","19.03","","-2.74%"
"30/04/2024","20.43","19.65","21.58","19.15","","17.28%"
"29/04/2024","17.42","17.92","18.67","17.30","","17.07%"
"26/04/2024","14.88","16.45","16.64","14.73","","-7.00%"
"25/04/2024","16.00","17.70","18.72","15.86","","-7.99%"
"24/04/2024","17.39","18.38","19.10","16.94","","4.07%"
"23/04/2024","16.71","18.24","18.67","16.71","","-5.06%"
"22/04/2024","17.60","19.43","19.74","17.21","","0.74%"
"19/04/2024","17.47","19.35","19.42","17.44","","-1.36%"
"18/04/2024","17.71","17.77","18.58","17.03","","-3.07%"
"17/04/2024","18.27","20.60","21.64","18.05","","-8.51%"
"16/04/2024","19.97","22.55","23.67","19.65","","-9.64%"
"15/04/2024","22.10","17.68","23.62","16.88","","28.64%"
"12/04/2024","17.18","17.99","21.16","16.90","","22.71%"
"11/04/2024","14.00","15.90","17.24","13.99","","-27.69%"
"10/04/2024","19.36","20.32","21.67","18.48","","9.69%"
"09/04/2024","17.65","17.02","21.15","16.84","","11.15%"
"08/04/2024","15.88","17.67","18.23","15.88","","2.39%"
"05/04/2024","15.51","17.05","17.30","15.10","","-10.81%"
"04/04/2024","17.39","13.01","18.42","12.44","","22.29%"
"03/04/2024","14.22","16.68","16.68","14.17","","-3.53%"
"02/04/2024","14.74","15.76","17.02","14.70","","18.68%"
"01/04/2024","12.42","12.80","13.41","12.11","","23.09%"
"28/03/2024","10.09","10.79","10.80","9.95","","-4.18%"
"27/03/2024","10.53","11.13","11.61","10.33","","-8.83%"
"26/03/2024","11.55","11.76","12.53","10.76","","5.48%"
"25/03/2024","10.95","12.20","12.20","10.61","","8.63%"
"22/03/2024","10.08","11.09","11.10","9.77","","-7.01%"
"21/03/2024","10.84","10.84","11.57","10.81","","-13.63%"
"20/03/2024","12.55","18.44","19.74","12.43","","-22.39%"
"19/03/2024","16.17","17.30","17.54","15.92","","-0.31%"
"18/03/2024","16.22","17.16","17.34","16.09","","13.19%"
"15/03/2024","14.33","15.60","16.23","14.28","","-4.72%"
"14/03/2024","15.04","13.92","16.59","13.89","","6.97%"
"13/03/2024","14.06","14.32","15.16","13.29","","3.92%"
"12/03/2024","13.53","15.47","17.08","13.43","","-23.34%"
"11/03/2024","17.65","17.94","19.00","17.24","","23.51%"
"08/03/2024","14.29","14.02","15.54","13.70","","-0.76%"
"07/03/2024","14.40","14.82","15.10","14.37","","-6.92%"
"06/03/2024","15.47","16.37","18.43","15.30","","-2.83%"
"05/03/2024","15.92","14.61","17.00","14.44","","21.43%"
"04/03/2024","13.11","13.83","13.87","12.91","","15.30%"
"01/03/2024","11.37","12.37","12.78","11.31","","-7.94%"
"29/02/2024","12.35","13.02","13.37","12.00","","-15.70%"
"28/02/2024","14.65","14.54","14.70","13.69","","10.82%"
"27/02/2024","13.22","13.99","14.11","13.14","","1.38%"
"26/02/2024","13.04","13.76","13.94","12.90","","14.39%"
"23/02/2024","11.40","12.48","12.76","11.20","","-12.24%"
"22/02/2024","12.99","13.07","13.70","12.74","","-27.99%"
"21/02/2024","18.04","18.64","20.01","17.67","","10.13%"
"20/02/2024","16.38","16.44","18.07","16.07","","34.37%"
"16/02/2024","12.19","12.90","13.30","11.51","","-0.97%"
"15/02/2024","12.31","12.90","13.32","12.25","","-9.95%"
"14/02/2024","13.67","16.16","17.40","13.20","","-17.70%"
"13/02/2024","16.61","15.98","21.83","14.97","","14.95%"
"12/02/2024","14.45","13.92","15.06","13.77","","24.35%"
"09/02/2024","11.62","12.01","12.01","11.17","","0.69%"
"08/02/2024","11.54","12.36","12.36","11.50","","-4.07%"
"07/02/2024","12.03","13.34","14.02","11.89","","-4.98%"
"06/02/2024","12.66","13.51","14.41","12.40","","-3.06%"
"05/02/2024","13.06","14.29","14.98","12.96","","3.98%"
"02/02/2024","12.56","13.28","13.47","12.31","","-4.34%"
"01/02/2024","13.13","14.34","14.75","13.08","","-26.57%"
"31/01/2024","17.88","18.10","20.25","17.88","","4.01%"
"30/01/2024","17.19","17.25","17.76","16.82","","6.97%"
"29/01/2024","16.07","16.58","16.79","15.95","","21.83%"
"26/01/2024","13.19","14.13","14.16","13.02","","-4.83%"
"25/01/2024","13.86","13.54","14.21","13.52","","7.94%"
"24/01/2024","12.84","12.27","13.25","12.01","","14.75%"
"23/01/2024","11.19","12.90","13.04","11.15","","-6.44%"
"22/01/2024","11.96","13.01","13.40","11.93","","10.43%"
"19/01/2024","10.83","11.93","12.45","10.82","","-11.59%"
"18/01/2024","12.25","13.07","13.53","12.25","","-6.35%"
"17/01/2024","13.08","15.07","15.64","12.40","","5.14%"
"16/01/2024","12.44","13.90","14.41","12.03","","26.68%"
"12/01/2024","9.82","10.64","11.31","9.64","","-6.74%"
"11/01/2024","10.53","10.72","12.35","10.31","","-27.93%"
"10/01/2024","14.61","14.80","15.50","14.27","","8.54%"
"09/01/2024","13.46","14.44","14.63","13.45","","2.05%"
"08/01/2024","13.19","14.49","14.55","13.16","","12.83%"
"05/01/2024","11.69","12.65","12.66","11.69","","-10.90%"
"04/01/2024","13.12","13.66","13.69","12.84","","-7.15%"
"03/01/2024","14.13","14.43","14.88","13.59","","11.52%"
"02/01/2024","12.67","14.85","14.98","12.55","","27.34%"
"29/12/2023","9.95","11.27","11.89","9.95","","-9.79%"
"28/12/2023","11.03","11.40","11.48","10.95","","-4.91%"
"27/12/2023","11.60","14.18","14.18","11.41","","-9.94%"
"26/12/2023","12.88","14.82","14.84","12.72","","16.67%"
"22/12/2023","11.04","12.78","12.95","10.95","","-15.14%"
"21/12/2023","13.01","12.94","14.56","12.84","","-23.34%"
"20/12/2023","16.97","12.05","17.99","11.27","","48.73%"
"19/12/2023","11.41","11.76","11.79","11.13","","-1.04%"
"18/12/2023","11.53","12.51","12.75","11.50","","8.26%"
"15/12/2023","10.65","11.47","11.87","10.15","","-14.04%"
"14/12/2023","12.39","12.00","12.79","11.61","","-31.17%"
"13/12/2023","18.00","16.08","18.00","14.78","","30.34%"
"12/12/2023","13.81","14.98","15.15","13.52","","-6.63%"
"11/12/2023","14.79","15.41","15.43","14.69","","18.89%"
"08/12/2023","12.44","13.36","13.56","12.44","","-10.95%"
"07/12/2023","13.97","13.98","14.15","13.83","","0.14%"
"06/12/2023","13.95","14.72","14.92","13.71","","4.97%"
"05/12/2023","13.29","14.16","15.15","13.17","","2.39%"
"04/12/2023","12.98","14.32","14.46","12.98","","14.77%"
"01/12/2023","11.31","12.08","12.14","11.17","","-5.83%"
"30/11/2023","12.01","12.56","12.77","11.86","","-8.67%"
"29/11/2023","13.15","13.15","14.06","12.89","","12.39%"
"28/11/2023","11.70","11.87","12.74","11.28","","8.64%"
"27/11/2023","10.77","11.83","11.91","10.77","","18.09%"
"24/11/2023","9.12","10.81","10.81","9.07","","40.74%"
"22/11/2023","6.48","9.60","9.60","6.48","","-40.60%"
"21/11/2023","10.91","10.79","11.10","10.46","","8.88%"
"20/11/2023","10.02","11.54","11.54","10.02","","2.98%"
"17/11/2023","9.73","11.37","11.37","9.73","","-15.17%"
"16/11/2023","11.47","11.71","12.09","11.25","","-17.48%"
"15/11/2023","13.90","16.84","17.06","13.80","","-11.86%"
"14/11/2023","15.77","15.08","15.95","14.62","","-0.50%"
"13/11/2023","15.85","16.09","16.12","15.32","","23.73%"
"10/11/2023","12.81","14.25","14.67","12.81","","-13.62%"
"09/11/2023","14.83","13.82","15.22","13.76","","8.88%"
"08/11/2023","13.62","15.31","15.65","13.32","","-4.02%"
"07/11/2023","14.19","15.03","15.09","14.09","","-0.70%"
"06/11/2023","14.29","15.70","16.07","14.20","","9.08%"
"03/11/2023","13.10","14.71","15.27","13.09","","-12.84%"
"02/11/2023","15.03","16.27","16.30","14.87","","-22.41%"
"01/11/2023","19.37","23.82","23.99","19.32","","-11.07%"
"31/10/2023","21.78","23.58","24.05","21.11","","-2.77%"
"30/10/2023","22.40","23.94","24.55","22.31","","4.48%"
"27/10/2023","21.44","20.65","22.97","20.11","","2.83%"
"26/10/2023","20.85","21.86","22.79","20.71","","-1.79%"
"25/10/2023","21.23","20.73","23.80","20.73","","8.65%"
"24/10/2023","19.54","20.95","21.57","18.92","","-5.83%"
"23/10/2023","20.75","23.37","24.19","20.56","","3.03%"
"20/10/2023","20.14","21.02","21.96","19.23","","-5.89%"
"19/10/2023","21.40","19.16","21.57","18.28","","11.98%"
"18/10/2023","19.11","20.24","21.91","19.04","","4.31%"
"17/10/2023","18.32","19.53","20.28","17.77","","3.56%"
"16/10/2023","17.69","19.65","19.65","17.52","","-4.48%"
"13/10/2023","18.52","16.09","21.52","15.88","","17.74%"
"12/10/2023","15.73","14.93","18.27","14.33","","-10.42%"
"11/10/2023","17.56","20.16","21.65","17.52","","-10.27%"
"10/10/2023","19.57","20.15","20.49","18.88","","0.05%"
"09/10/2023","19.56","20.74","20.79","18.88","","21.11%"
"06/10/2023","16.15","19.40","19.80","15.96","","-12.42%"
"05/10/2023","18.44","18.48","19.82","18.27","","-8.30%"
"04/10/2023","20.11","22.74","23.03","19.75","","-5.36%"
"03/10/2023","21.25","21.00","23.17","20.30","","15.68%"
"02/10/2023","18.37","20.55","20.63","15.62","","7.87%"
"29/09/2023","17.03","16.16","17.71","15.24","","-3.62%"
"28/09/2023","17.67","20.25","20.29","17.45","","-20.83%"
"27/09/2023","22.32","22.22","24.58","21.80","","0.45%"
"26/09/2023","22.22","21.40","23.37","20.79","","15.55%"
"25/09/2023","19.23","21.71","22.04","18.88","","9.08%"
"22/09/2023","17.63","17.93","18.20","15.59","","-7.70%"
"21/09/2023","19.10","16.35","19.10","12.71","","16.89%"
"20/09/2023","16.34","17.26","17.29","15.34","","5.76%"
"19/09/2023","15.45","15.56","16.64","15.31","","10.36%"
"18/09/2023","14.00","15.58","15.71","13.98","","15.80%"
"15/09/2023","12.09","12.10","13.30","11.75","","3.25%"
"14/09/2023","11.71","12.59","12.70","11.65","","-6.69%"
"13/09/2023","12.55","15.05","15.05","12.46","","-16.72%"
"12/09/2023","15.07","14.59","15.35","14.21","","13.82%"
"11/09/2023","13.24","13.81","14.18","12.85","","13.36%"
"08/09/2023","11.68","12.92","12.92","11.55","","-8.46%"
"07/09/2023","12.76","14.69","14.97","12.76","","-0.08%"
"06/09/2023","12.77","13.70","15.26","12.70","","2.41%"
"05/09/2023","12.47","13.80","13.97","12.10","","30.99%"
"01/09/2023","9.52","11.30","11.33","9.52","","-17.65%"
"31/08/2023","11.56","12.34","12.37","11.43","","-24.05%"
"30/08/2023","15.22","16.82","17.32","14.72","","-0.91%"
"29/08/2023","15.36","15.68","15.78","15.13","","3.71%"
"28/08/2023","14.81","16.06","16.19","14.76","","8.10%"
"25/08/2023","13.70","16.28","16.43","13.70","","-15.38%"
"24/08/2023","16.19","14.98","16.23","14.90","","-16.85%"
"23/08/2023","19.47","19.57","19.86","18.87","","6.45%"
"22/08/2023","18.29","18.72","19.70","18.17","","1.27%"
"21/08/2023","18.06","19.21","19.56","17.67","","10.26%"
"18/08/2023","16.38","18.23","18.48","16.27","","-6.13%"
"17/08/2023","17.45","16.30","17.90","16.29","","9.75%"
"16/08/2023","15.90","17.01","17.17","15.29","","-3.64%"
"15/08/2023","16.50","15.67","16.99","15.43","","17.44%"
"14/08/2023","14.05","16.59","16.76","13.87","","9.25%"
"11/08/2023","12.86","15.50","15.76","12.86","","-14.95%"
"10/08/2023","15.12","14.22","17.16","13.44","","-19.49%"
"09/08/2023","18.78","17.28","19.91","17.06","","19.77%"
"08/08/2023","15.68","17.17","19.30","15.57","","4.53%"
"07/08/2023","15.00","16.51","17.50","14.97","","-5.06%"
"04/08/2023","15.80","14.03","16.88","12.44","","5.12%"
"03/08/2023","15.03","16.51","16.79","14.55","","-14.02%"
"02/08/2023","17.48","16.73","18.39","16.54","","28.15%"
"01/08/2023","13.64","14.08","14.10","13.23","","7.49%"
"31/07/2023","12.69","13.45","13.65","12.63","","18.60%"
"28/07/2023","10.70","11.92","12.01","10.67","","-20.15%"
"27/07/2023","13.40","11.53","14.34","11.17","","10.20%"
"26/07/2023","12.16","16.58","16.58","12.12","","-20.16%"
"25/07/2023","15.23","16.08","16.48","15.23","","5.62%"
"24/07/2023","14.42","15.16","15.39","14.32","","17.62%"
"21/07/2023","12.26","13.44","13.44","12.20","","-9.65%"
"20/07/2023","13.57","13.85","14.04","13.15","","11.78%"
"19/07/2023","12.14","12.81","13.32","11.96","","0.91%"
"18/07/2023","12.03","12.56","12.61","11.82","","1.43%"
"17/07/2023","11.86","13.11","13.11","11.73","","9.41%"
"14/07/2023","10.84","11.52","11.52","10.56","","-6.23%"
"13/07/2023","11.56","11.44","11.64","10.97","","-8.40%"
"12/07/2023","12.62","14.58","14.58","12.40","","-20.03%"
